original_lon,original_lat,distance,formatted,latitude,longitude,name,housenumber,street,district,suburb,postcode,county_code,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
-86.79912216961384,36.14688837389899,0,"Starbucks, 21st Avenue South, Nashville, TN 37235-1826, United States of America",36.146887500000005,-86.7991220292692,Starbucks,,21st Avenue South,,,37235-1826,,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-80.84855899214743,35.22487110486726,0,"Mint Museum Uptown, 525 South Church Street, Charlotte, NC, United States of America",35.224731500000004,-80.84858582949668,Mint Museum Uptown,525,South Church Street,,Uptown,,,Charlotte,Mecklenburg County,North Carolina,NC,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-118.24404850602149,34.03139071663115,0,"McDonald's, East Olympic Boulevard, Los Angeles, CA 90021, United States of America",34.03139495,-118.24404963223071,McDonald's,,East Olympic Boulevard,,Downtown,90021,,Los Angeles,Los Angeles County,California,CA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-121.48117303848265,38.56949915794817,0,"2104 P Street, Sacramento, CA 95816, United States of America",38.5694663,-121.48118322439694,,2104,P Street,,,95816,,Sacramento,Sacramento County,California,CA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-73.78574073314665,42.6533215761287,0,"XtraMart, 247 New Scotland Avenue, Albany, NY 12208, United States of America",42.6533163,-73.785698,XtraMart,247,New Scotland Avenue,,Pine Hills,12208,,Albany,Albany County,New York,NY,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-73.96860435605049,40.7611739056597,0,"Chick-fil-A, 711 Lexington Avenue, New York, NY 10022, United States of America",40.761180100000004,-73.96861624738895,Chick-fil-A,711,Lexington Avenue,,Manhattan,10022,,New York,New York County,New York,NY,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-97.73836746811867,30.313358512939928,0.9996482417326124,"Chili's, West 45th Street, Austin, TX 78756, United States of America",30.3133675,-97.7383672,Chili's,,West 45th Street,,The Triangle,78756,,Austin,Travis County,Texas,TX,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-122.33254976570605,47.60809890760792,0,"YWCA Building, 501 Seneca Street, Seattle, WA 98138, United States of America",47.6080984,-122.332551,YWCA Building,501,Seneca Street,,First Hill,98138,,Seattle,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-122.68025793135165,45.516616575038356,0,"PMC, 1025 Southwest 6th Avenue, Portland, OR 97204, United States of America",45.516918000000004,-122.68016686568924,PMC,1025,Southwest 6th Avenue,,Downtown,97204,,Portland,Multnomah County,Oregon,OR,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-103.86317498981953,44.49019285957915,0,"Arby's, West Jackson Boulevard, Spearfish, SD 57783, United States of America",44.49020795,-103.86317705660676,Arby's,,West Jackson Boulevard,,Downtown Spearfish,57783,,Spearfish,Lawrence County,South Dakota,SD,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-112.01820015907288,46.59130125414803,0,"Starbucks, Prospect Avenue, Helena, MT 59620, United States of America",46.59132095,-112.01823315,Starbucks,,Prospect Avenue,,Prospect,59620,,Helena,Lewis and Clark County,Montana,MT,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-111.87207274138927,40.760912335854414,0,"665 400 South, Salt Lake City, UT 84102, United States of America",40.76102055,-111.87195478045406,,665,400 South,,Central City,84102,,Salt Lake City,Salt Lake County,Utah,UT,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
